"id","relid","year","type_of_violence","conflict_name","side_a","side_b","latitude","longitude","region","deaths_a","deaths_b","deaths_civilians","deaths_unknown"
196887,"NIG-2015-2-265-1",2015,2,"Ogoni - Okrika (Ijaw)","Ogoni","Okrika (Ijaw)",4.72586,7.24318,"Africa",7,0,0,0
196888,"NIG-2014-2-265-0",2014,2,"Ogoni - Okrika (Ijaw)","Ogoni","Okrika (Ijaw)",4.704974,7.229921,"Africa",3,0,0,0
13822,"SAF-1991-2-312-301",1991,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-30.741369,30.454992,"Africa",1,0,0,0
197952,"NIG-2015-2-429-9",2015,2,"Birom - Fulani","Birom","Fulani",9.623304,8.893227,"Africa",0,0,0,0
197889,"CEN-2015-2-12378-11",2015,2,"anti-Balaka - FPRC","anti-Balaka","FPRC",4.366667,18.583333,"Africa",0,0,0,3
198213,"CAO-2015-2-14671-11",2015,2,"IS - Yan Gora","IS","Yan Gora",10.60371,13.03029,"Africa",1,4,0,0
13833,"SAF-1994-2-312-133",1994,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-30.025295,30.861297,"Africa",0,0,0,0
198496,"NIG-2015-2-12132-14",2015,2,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","Yan Gora",10.38396,12.82425,"Africa",0,0,0,3
198663,"CAO-2015-2-14671-4",2015,2,"IS - Yan Gora","IS","Yan Gora",11.778008,13.173047,"Africa",3,3,0,0
13850,"SAF-1992-2-312-384",1992,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-29.84843,30.09257,"Africa",1,0,0,0
192523,"MEX-2007-2-142-150",2007,2,"Gulf Cartel - Sinaloa Cartel","Gulf Cartel","Sinaloa Cartel",25.666667,-100.0,"Americas",0,0,0,1
